"","X","status_conta","duracao_mes","hist_credito","proposito","qtdd_credito","reserva","temp_man_empr_atual","percen_tx_rendim_disp","genero","estado_civil","dev_fiadores","tempo_res_atual","patrimonio","idade_anos","outros_par","habitacao","n_creditos","status_ocupacional","n_corresponsaveis","telefone","estrangeiro","classe","ID"
"487",487,"Inexistente",12,"Pago em dia","rádio/televisão",3077,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",4,"Carro/outro",52,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",487
"488",488,"Inexistente",24,"Pago em dia","carro (novo)",3757,"< 100","> 7",4,"Mulher","uniao registrada","co-requerente",4,"Sem posses/
desconhecido",62,"nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",488
"489",489,"Inexistente",10,"Pago em dia","carro (novo)",1418,"100 - 500","1 - 4",3,"Homem"," solteiro","nenhum",2,"Imóvel",35,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Não","Bom",489
"490",490,"Inexistente",6,"Pago em dia","carro (novo)",3518,"< 100","1 - 4",2,"Homem"," solteiro","fiador",3,"Poupança/
Seguro de vida",26,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",490
"491",491,"Inexistente",12,"Pendente (outros bancos)","rádio/televisão",1934,"< 100","> 7",2,"Homem"," solteiro","nenhum",2,"Sem posses/
desconhecido",26,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",491
"492",492,"Regular",27,"Quitados","negócios",8318,"< 100","> 7",2,"Mulher","uniao registrada","nenhum",4,"Sem posses/
desconhecido",42,"nenhum","de graça",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",492
"493",493,"Inexistente",6,"Pendente (outros bancos)","rádio/televisão",1237,"100 - 500","1 - 4",1,"Mulher","uniao registrada","nenhum",1,"Poupança/
Seguro de vida",27,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",493
"494",494,"Regular",6,"Pago em dia","rádio/televisão",368,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",38,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",494
"495",495,"Negativo",12,"Pendente (outros bancos)","carro (novo)",2122,"< 100","1 - 4",3,"Homem"," solteiro","nenhum",2,"Imóvel",39,"nenhum","alugada",2,"não qualificado - residente",2,"Nenhum","Não","Bom",495
"496",496,"Negativo",24,"Pago em dia","móveis/equipamentos",2996,"Desconhecido/Inexistente","1 - 4",2,"Homem","uniao registrada","nenhum",4,"Carro/outro",20,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",496
"497",497,"Regular",36,"Pago em dia","móveis/equipamentos",9034,"100 - 500","...<1ano",4,"Homem"," solteiro","co-requerente",1,"Sem posses/
desconhecido",29,"nenhum","alugada",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",497
"498",498,"Inexistente",24,"Pendente (outros bancos)","móveis/equipamentos",1585,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",3,"Poupança/
Seguro de vida",40,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",498
"499",499,"Regular",18,"Pago em dia","rádio/televisão",1301,"< 100","> 7",4,"Homem","uniao registrada","fiador",2,"Imóvel",32,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",499
"500",500,"Alto",6,"Pendente (outros bancos)","carro (novo)",1323,"100 - 500","> 7",2,"Homem","uniao registrada","nenhum",4,"Carro/outro",28,"nenhum","própria",2,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",500
"501",501,"Negativo",24,"Pago em dia","carro (novo)",3123,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",1,"Poupança/
Seguro de vida",27,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",501
"502",502,"Negativo",36,"Pago em dia","carro (usado)",5493,"< 100","> 7",2,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",42,"nenhum","de graça",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",502
"503",503,"Alto",9,"Pago em dia","rádio/televisão",1126,"100 - 500","> 7",2,"Homem","uniao registrada","nenhum",4,"Imóvel",49,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",503
"504",504,"Regular",24,"Pendente (outros bancos)","rádio/televisão",1216,"100 - 500","...<1ano",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",38,"banco","própria",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Ruim",504
"505",505,"Negativo",24,"Pago em dia","carro (novo)",1207,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",24,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",505
"506",506,"Inexistente",10,"Pago em dia","carro (novo)",1309,"Desconhecido/Inexistente","1 - 4",4,"Homem"," solteiro","fiador",4,"Poupança/
Seguro de vida",27,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Ruim",506
"507",507,"Alto",15,"Pendente (outros bancos)","carro (usado)",2360,"500 - 1000","1 - 4",2,"Homem"," solteiro","nenhum",2,"Carro/outro",36,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",507
"508",508,"Regular",15,"Quitados","carro (novo)",6850,"100 - 500","desempregado",1,"Homem"," solteiro","nenhum",2,"Poupança/
Seguro de vida",34,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Sim, registrado em nome do cliente","Sim","Ruim",508
"509",509,"Inexistente",24,"Pago em dia","rádio/televisão",1413,"< 100","1 - 4",4,"Homem","uniao registrada","nenhum",2,"Poupança/
Seguro de vida",28,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",509
"510",510,"Inexistente",39,"Pago em dia","carro (usado)",8588,"100 - 500","> 7",4,"Homem"," solteiro","nenhum",2,"Carro/outro",45,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",510
"511",511,"Negativo",12,"Pago em dia","carro (novo)",759,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",2,"Imóvel",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",511
"512",512,"Inexistente",36,"Pago em dia","carro (usado)",4686,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"Sem posses/
desconhecido",32,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",512
"513",513,"Alto",15,"Pago em dia","negócios",2687,"< 100","4 - 7",2,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",26,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",513
"514",514,"Regular",12,"Pago mas já esteve em atraso","rádio/televisão",585,"< 100","1 - 4",4,"Homem","uniao registrada","co-requerente",4,"Imóvel",20,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",514
"515",515,"Inexistente",24,"Pago em dia","carro (novo)",2255,"Desconhecido/Inexistente","...<1ano",4,"Homem"," solteiro","nenhum",1,"Poupança/
Seguro de vida",54,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",515
"516",516,"Negativo",6,"Pendente (outros bancos)","carro (novo)",609,"< 100","4 - 7",4,"Mulher","uniao registrada","nenhum",3,"Poupança/
Seguro de vida",37,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Não","Bom",516
"517",517,"Negativo",6,"Pendente (outros bancos)","carro (novo)",1361,"< 100","...<1ano",2,"Homem"," solteiro","nenhum",4,"Imóvel",40,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Não","Bom",517
"518",518,"Inexistente",36,"Pendente (outros bancos)","móveis/equipamentos",7127,"< 100","...<1ano",2,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",23,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",518
"519",519,"Negativo",6,"Pago em dia","carro (novo)",1203,"100 - 500","> 7",3,"Homem"," solteiro","nenhum",2,"Poupança/
Seguro de vida",43,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",519
"520",520,"Inexistente",6,"Pendente (outros bancos)","rádio/televisão",700,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",36,"nenhum","de graça",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",520
"521",521,"Inexistente",24,"Pendente (outros bancos)","reparos",5507,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",44,"nenhum","de graça",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",521
"522",522,"Negativo",18,"Pago em dia","rádio/televisão",3190,"< 100","1 - 4",2,"Mulher","uniao registrada","nenhum",2,"Imóvel",24,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",522
"523",523,"Negativo",48,"Quitados","móveis/equipamentos",7119,"< 100","1 - 4",3,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",53,"nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Ruim",523
"524",524,"Inexistente",24,"Pago em dia","carro (usado)",3488,"100 - 500","4 - 7",3,"Mulher","uniao registrada","nenhum",4,"Carro/outro",23,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",524
"525",525,"Regular",18,"Pago em dia","rádio/televisão",1113,"< 100","1 - 4",4,"Mulher","uniao registrada","fiador",4,"Imóvel",26,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",525
"526",526,"Regular",26,"Pago em dia","carro (usado)",7966,"< 100","...<1ano",2,"Homem"," solteiro","nenhum",3,"Carro/outro",30,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",526
"527",527,"Inexistente",15,"Pendente (outros bancos)","educação",1532,"100 - 500","1 - 4",4,"Mulher","uniao registrada","nenhum",3,"Carro/outro",31,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",527
"528",528,"Inexistente",4,"Pendente (outros bancos)","rádio/televisão",1503,"< 100","4 - 7",2,"Homem"," solteiro","nenhum",1,"Imóvel",42,"nenhum","própria",2,"não qualificado - residente",2,"Nenhum","Sim","Bom",528
"529",529,"Negativo",36,"Pago em dia","rádio/televisão",2302,"< 100","1 - 4",4,"Homem","uniao registrada","nenhum",4,"Carro/outro",31,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",529
"530",530,"Negativo",6,"Pago em dia","carro (novo)",662,"< 100","...<1ano",3,"Homem"," solteiro","nenhum",4,"Imóvel",41,"nenhum","própria",1,"não qualificado - residente",2,"Sim, registrado em nome do cliente","Sim","Bom",530
"531",531,"Regular",36,"Pago em dia","educação",2273,"< 100","4 - 7",3,"Homem"," solteiro","nenhum",1,"Carro/outro",32,"nenhum","própria",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",531
"532",532,"Regular",15,"Pago em dia","carro (novo)",2631,"100 - 500","1 - 4",2,"Mulher","uniao registrada","nenhum",4,"Carro/outro",28,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",532
"533",533,"Inexistente",12,"Pago mas já esteve em atraso","carro (usado)",1503,"< 100","1 - 4",4,"Homem","uniao registrada","nenhum",4,"Imóvel",41,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",533
"534",534,"Inexistente",24,"Pago em dia","rádio/televisão",1311,"100 - 500","4 - 7",4,"Homem","uniao registrada","nenhum",3,"Poupança/
Seguro de vida",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",534
"535",535,"Inexistente",24,"Pago em dia","rádio/televisão",3105,"Desconhecido/Inexistente","...<1ano",4,"Homem"," solteiro","nenhum",2,"Carro/outro",25,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",535
"536",536,"Alto",21,"Pendente (outros bancos)","educação",2319,"< 100","...<1ano",2,"Homem","uniao registrada","nenhum",1,"Carro/outro",33,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",536
"537",537,"Negativo",6,"Pago em dia","carro (novo)",1374,"Desconhecido/Inexistente","desempregado",4,"Mulher","uniao registrada","nenhum",3,"Poupança/
Seguro de vida",75,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",537
"538",538,"Regular",18,"Pendente (outros bancos)","móveis/equipamentos",3612,"< 100","> 7",3,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",37,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",538
"539",539,"Negativo",48,"Pago em dia","carro (novo)",7763,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",42,"banco","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Ruim",539
"540",540,"Alto",18,"Pago em dia","móveis/equipamentos",3049,"< 100","...<1ano",1,"Mulher","uniao registrada","nenhum",1,"Poupança/
Seguro de vida",45,"lojas","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",540
"541",541,"Regular",12,"Pago em dia","rádio/televisão",1534,"< 100","...<1ano",1,"Homem","uniao registrada","nenhum",1,"Imóvel",23,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",541
"542",542,"Inexistente",24,"Pago mas já esteve em atraso","carro (novo)",2032,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",60,"nenhum","de graça",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",542
"543",543,"Negativo",30,"Pago em dia","móveis/equipamentos",6350,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",31,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",543
"544",544,"Alto",18,"Pago em dia","móveis/equipamentos",2864,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",1,"Imóvel",34,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Ruim",544
"545",545,"Inexistente",12,"Pendente (outros bancos)","carro (novo)",1255,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Imóvel",61,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",545
"546",546,"Negativo",24,"Pago mas já esteve em atraso","carro (novo)",1333,"< 100","desempregado",4,"Homem"," solteiro","nenhum",2,"Imóvel",43,"nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Ruim",546
"547",547,"Inexistente",24,"Pendente (outros bancos)","carro (novo)",2022,"< 100","1 - 4",4,"Mulher","uniao registrada","nenhum",4,"Carro/outro",37,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",547
"548",548,"Inexistente",24,"Pago em dia","rádio/televisão",1552,"< 100","4 - 7",3,"Homem"," solteiro","nenhum",1,"Carro/outro",32,"banco","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",548
"549",549,"Negativo",12,"Quitados","rádio/televisão",626,"< 100","1 - 4",4,"Mulher","uniao registrada","nenhum",4,"Imóvel",24,"banco","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Ruim",549
"550",550,"Inexistente",48,"Pendente (outros bancos)","carro (usado)",8858,"Desconhecido/Inexistente","4 - 7",2,"Homem"," solteiro","nenhum",1,"Sem posses/
desconhecido",35,"nenhum","de graça",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",550
"551",551,"Inexistente",12,"Pendente (outros bancos)","reparos",996,"Desconhecido/Inexistente","4 - 7",4,"Mulher","uniao registrada","nenhum",4,"Imóvel",23,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",551
"552",552,"Inexistente",6,"Quitados","rádio/televisão",1750,"500 - 1000","> 7",2,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",45,"banco","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",552
"553",553,"Negativo",48,"Pago em dia","rádio/televisão",6999,"< 100","4 - 7",1,"Homem","uniao registrada","fiador",1,"Imóvel",34,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",553
"554",554,"Regular",12,"Pendente (outros bancos)","carro (novo)",1995,"100 - 500","...<1ano",4,"Homem"," solteiro","nenhum",1,"Carro/outro",27,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",554
"555",555,"Regular",9,"Pago em dia","educação",1199,"< 100","4 - 7",4,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",67,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",555
"556",556,"Regular",12,"Pago em dia","rádio/televisão",1331,"< 100","...<1ano",2,"Homem"," solteiro","nenhum",1,"Carro/outro",22,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",556
"557",557,"Regular",18,"Quitados","carro (novo)",2278,"100 - 500","...<1ano",3,"Mulher","uniao registrada","nenhum",3,"Carro/outro",28,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",557
"558",558,"Inexistente",21,"Quitados","carro (novo)",5003,"Desconhecido/Inexistente","1 - 4",1,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",29,"banco","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",558
"559",559,"Negativo",24,"Quitados","móveis/equipamentos",3552,"< 100","4 - 7",3,"Homem"," solteiro","nenhum",4,"Carro/outro",27,"banco","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",559
"560",560,"Regular",18,"Pendente (outros bancos)","móveis/equipamentos",1928,"< 100","...<1ano",2,"Homem"," solteiro","nenhum",2,"Imóvel",31,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Ruim",560
"561",561,"Negativo",24,"Pago em dia","carro (usado)",2964,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",49,"banco","de graça",1,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",561
"562",562,"Negativo",24,"Quitados","rádio/televisão",1546,"< 100","4 - 7",4,"Homem"," solteiro","fiador",4,"Carro/outro",24,"banco","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Ruim",562
"563",563,"Alto",6,"Pago mas já esteve em atraso","rádio/televisão",683,"< 100","...<1ano",2,"Mulher","uniao registrada","nenhum",1,"Poupança/
Seguro de vida",29,"banco","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",563
"564",564,"Regular",36,"Pago em dia","carro (novo)",12389,"Desconhecido/Inexistente","1 - 4",1,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",37,"nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",564
"565",565,"Regular",24,"Pago mas já esteve em atraso","negócios",4712,"Desconhecido/Inexistente","1 - 4",4,"Homem"," solteiro","nenhum",2,"Poupança/
Seguro de vida",37,"banco","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",565
"566",566,"Regular",24,"Pago mas já esteve em atraso","rádio/televisão",1553,"100 - 500","4 - 7",3,"Mulher","uniao registrada","nenhum",2,"Poupança/
Seguro de vida",23,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",566
"567",567,"Negativo",12,"Pago em dia","carro (novo)",1372,"< 100","4 - 7",2,"Homem","uniao registrada","nenhum",3,"Carro/outro",36,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",567
"568",568,"Inexistente",24,"Pendente (outros bancos)","rádio/televisão",2578,"> 1000","> 7",2,"Homem"," solteiro","nenhum",2,"Carro/outro",34,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",568
"569",569,"Regular",48,"Pago em dia","rádio/televisão",3979,"Desconhecido/Inexistente","4 - 7",4,"Homem"," solteiro","nenhum",1,"Carro/outro",41,"nenhum","própria",2,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",569
"570",570,"Negativo",48,"Pago em dia","rádio/televisão",6758,"< 100","1 - 4",3,"Mulher","uniao registrada","nenhum",2,"Carro/outro",31,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",570
"571",571,"Negativo",24,"Pago em dia","móveis/equipamentos",3234,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",4,"Imóvel",23,"nenhum","alugada",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Ruim",571
"572",572,"Inexistente",30,"Pendente (outros bancos)","rádio/televisão",5954,"< 100","4 - 7",3,"Homem"," solteiro","co-requerente",2,"Carro/outro",38,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",572
"573",573,"Inexistente",24,"Pago em dia","carro (usado)",5433,"Desconhecido/Inexistente","desempregado",2,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",26,"nenhum","alugada",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",573
"574",574,"Negativo",15,"Pago em dia","negócios",806,"< 100","1 - 4",4,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",22,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",574
"575",575,"Regular",9,"Pago em dia","rádio/televisão",1082,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Carro/outro",27,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",575
"576",576,"Inexistente",15,"Pendente (outros bancos)","móveis/equipamentos",2788,"< 100","4 - 7",2,"Mulher","uniao registrada","co-requerente",3,"Carro/outro",24,"banco","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",576
"577",577,"Regular",12,"Pago em dia","rádio/televisão",2930,"< 100","4 - 7",2,"Mulher","uniao registrada","nenhum",1,"Imóvel",27,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",577
"578",578,"Inexistente",24,"Pendente (outros bancos)","educação",1927,"Desconhecido/Inexistente","1 - 4",3,"Mulher","uniao registrada","nenhum",2,"Carro/outro",33,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",578
"579",579,"Regular",36,"Pendente (outros bancos)","carro (novo)",2820,"< 100","...<1ano",4,"Homem","uniao registrada","nenhum",4,"Carro/outro",27,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",579
"580",580,"Inexistente",24,"Pago em dia","reciclagem",937,"< 100","...<1ano",4,"Homem","uniao registrada","nenhum",3,"Carro/outro",27,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",580
"581",581,"Regular",18,"Pendente (outros bancos)","carro (novo)",1056,"< 100","> 7",3,"Homem"," solteiro","fiador",3,"Imóvel",30,"banco","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",581
"582",582,"Regular",12,"Pendente (outros bancos)","carro (novo)",3124,"< 100","...<1ano",1,"Homem"," solteiro","nenhum",3,"Imóvel",49,"banco","própria",2,"não qualificado - residente",2,"Nenhum","Sim","Bom",582
"583",583,"Inexistente",9,"Pago em dia","móveis/equipamentos",1388,"< 100","1 - 4",4,"Mulher","uniao registrada","nenhum",2,"Imóvel",26,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",583
"584",584,"Regular",36,"Pago em dia","reparos",2384,"< 100","...<1ano",4,"Homem"," solteiro","nenhum",1,"Sem posses/
desconhecido",33,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Ruim",584
"585",585,"Inexistente",12,"Pago em dia","carro (novo)",2133,"Desconhecido/Inexistente","> 7",4,"Mulher","uniao registrada","nenhum",4,"Sem posses/
desconhecido",52,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",585
"586",586,"Negativo",18,"Pago em dia","móveis/equipamentos",2039,"< 100","1 - 4",1,"Mulher","uniao registrada","nenhum",4,"Imóvel",20,"banco","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",586
"587",587,"Negativo",9,"Pendente (outros bancos)","carro (novo)",2799,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"Imóvel",36,"nenhum","alugada",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",587
"588",588,"Negativo",12,"Pago em dia","móveis/equipamentos",1289,"< 100","1 - 4",4,"Homem"," solteiro","fiador",1,"Poupança/
Seguro de vida",21,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",588
"589",589,"Negativo",18,"Pago em dia","eletrodomésticos",1217,"< 100","1 - 4",4,"Homem","uniao registrada","nenhum",3,"Imóvel",47,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Ruim",589
"590",590,"Negativo",12,"Pendente (outros bancos)","móveis/equipamentos",2246,"< 100","> 7",3,"Homem"," solteiro","nenhum",3,"Poupança/
Seguro de vida",60,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",590
"591",591,"Negativo",12,"Pendente (outros bancos)","rádio/televisão",385,"< 100","4 - 7",4,"Mulher","uniao registrada","nenhum",3,"Imóvel",58,"nenhum","própria",4,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",591
"592",592,"Regular",24,"Pago mas já esteve em atraso","carro (novo)",1965,"Desconhecido/Inexistente","1 - 4",4,"Mulher","uniao registrada","nenhum",4,"Carro/outro",42,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",592
"593",593,"Inexistente",21,"Pago em dia","negócios",1572,"> 1000","> 7",4,"Mulher","uniao registrada","nenhum",4,"Imóvel",36,"banco","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",593
"594",594,"Regular",24,"Pago em dia","carro (novo)",2718,"< 100","1 - 4",3,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",20,"nenhum","alugada",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Ruim",594
