ID,status_conta,duracao_mes,hist_credito,qtdd_credito,percen_tx_rendim_disp,dev_fiadores,outros_par,n_creditos,classe
565,regular,24,atraso no pagamento no passado,4712,4,nenhum,banco,2,Bom
566,regular,24,atraso no pagamento no passado,1553,3,nenhum,nenhum,2,Bom
567,negativo,12,créditos existentes pagos devidamente até agora,1372,2,nenhum,nenhum,1,Ruim
568, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2578,2,nenhum,nenhum,1,Bom
569,regular,48,créditos existentes pagos devidamente até agora,3979,4,nenhum,nenhum,2,Bom
570,negativo,48,créditos existentes pagos devidamente até agora,6758,3,nenhum,nenhum,1,Ruim
571,negativo,24,créditos existentes pagos devidamente até agora,3234,4,nenhum,nenhum,1,Ruim
572, inexistente,30,conta crítica/outros créditos existentes (não neste banco),5954,3,co-requerente,nenhum,1,Bom
573, inexistente,24,créditos existentes pagos devidamente até agora,5433,2,nenhum,nenhum,1,Bom
574,negativo,15,créditos existentes pagos devidamente até agora,806,4,nenhum,nenhum,1,Bom
575,regular,9,créditos existentes pagos devidamente até agora,1082,4,nenhum,nenhum,2,Bom
576, inexistente,15,conta crítica/outros créditos existentes (não neste banco),2788,2,co-requerente,banco,2,Bom
577,regular,12,créditos existentes pagos devidamente até agora,2930,2,nenhum,nenhum,1,Bom
578, inexistente,24,conta crítica/outros créditos existentes (não neste banco),1927,3,nenhum,nenhum,2,Bom
579,regular,36,conta crítica/outros créditos existentes (não neste banco),2820,4,nenhum,nenhum,2,Ruim
580, inexistente,24,créditos existentes pagos devidamente até agora,937,4,nenhum,nenhum,2,Bom
581,regular,18,conta crítica/outros créditos existentes (não neste banco),1056,3,fiador,banco,2,Ruim
582,regular,12,conta crítica/outros créditos existentes (não neste banco),3124,1,nenhum,banco,2,Bom
583, inexistente,9,créditos existentes pagos devidamente até agora,1388,4,nenhum,nenhum,1,Bom
584,regular,36,créditos existentes pagos devidamente até agora,2384,4,nenhum,nenhum,1,Ruim
585, inexistente,12,créditos existentes pagos devidamente até agora,2133,4,nenhum,nenhum,1,Bom
586,negativo,18,créditos existentes pagos devidamente até agora,2039,1,nenhum,banco,1,Ruim
587,negativo,9,conta crítica/outros créditos existentes (não neste banco),2799,2,nenhum,nenhum,2,Bom
588,negativo,12,créditos existentes pagos devidamente até agora,1289,4,fiador,nenhum,1,Bom
589,negativo,18,créditos existentes pagos devidamente até agora,1217,4,nenhum,nenhum,1,Ruim
590,negativo,12,conta crítica/outros créditos existentes (não neste banco),2246,3,nenhum,nenhum,2,Ruim
591,negativo,12,conta crítica/outros créditos existentes (não neste banco),385,4,nenhum,nenhum,4,Bom
592,regular,24,atraso no pagamento no passado,1965,4,nenhum,nenhum,2,Bom
593, inexistente,21,créditos existentes pagos devidamente até agora,1572,4,nenhum,banco,1,Bom
594,regular,24,créditos existentes pagos devidamente até agora,2718,3,nenhum,nenhum,1,Ruim
595,negativo,24,todos os créditos deste banco foram devidamente pagos,1358,4,nenhum,lojas,1,Ruim
596,regular,6,todos os créditos deste banco foram devidamente pagos,931,1,nenhum,lojas,1,Ruim
597,negativo,24,créditos existentes pagos devidamente até agora,1442,4,nenhum,nenhum,2,Ruim
598,regular,24,nenhum crédito obtido/todos os créditos pagos devidamente,4241,1,nenhum,nenhum,3,Ruim
599, inexistente,18,conta crítica/outros créditos existentes (não neste banco),2775,2,nenhum,banco,2,Ruim
600, inexistente,24,atraso no pagamento no passado,3863,1,nenhum,nenhum,1,Bom
601,regular,7,créditos existentes pagos devidamente até agora,2329,1,fiador,nenhum,1,Bom
602,regular,9,créditos existentes pagos devidamente até agora,918,4,nenhum,nenhum,1,Ruim
603,regular,24,todos os créditos deste banco foram devidamente pagos,1837,4,nenhum,banco,1,Ruim
604, inexistente,36,créditos existentes pagos devidamente até agora,3349,4,nenhum,nenhum,1,Ruim
605,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,10,créditos existentes pagos devidamente até agora,1275,4,nenhum,nenhum,1,Bom
606,negativo,24,todos os créditos deste banco foram devidamente pagos,2828,4,nenhum,lojas,1,Bom
607, inexistente,24,conta crítica/outros créditos existentes (não neste banco),4526,3,nenhum,nenhum,1,Bom
608,regular,36,créditos existentes pagos devidamente até agora,2671,4,co-requerente,nenhum,1,Ruim
609, inexistente,18,créditos existentes pagos devidamente até agora,2051,4,nenhum,nenhum,1,Bom
610, inexistente,15,créditos existentes pagos devidamente até agora,1300,4,nenhum,banco,1,Bom
611,negativo,12,créditos existentes pagos devidamente até agora,741,4,nenhum,nenhum,1,Ruim
612,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,10,créditos existentes pagos devidamente até agora,1240,1,nenhum,nenhum,1,Ruim
613,negativo,21,créditos existentes pagos devidamente até agora,3357,4,nenhum,banco,1,Bom
614,negativo,24,todos os créditos deste banco foram devidamente pagos,3632,1,fiador,banco,1,Bom
615, inexistente,18,atraso no pagamento no passado,1808,4,nenhum,nenhum,1,Ruim
616,regular,48,nenhum crédito obtido/todos os créditos pagos devidamente,12204,2,nenhum,banco,1,Bom
617,regular,60,atraso no pagamento no passado,9157,2,nenhum,nenhum,1,Bom
618,negativo,6,conta crítica/outros créditos existentes (não neste banco),3676,1,nenhum,nenhum,3,Bom
619,regular,30,créditos existentes pagos devidamente até agora,3441,2,co-requerente,nenhum,1,Ruim
620, inexistente,12,créditos existentes pagos devidamente até agora,640,4,nenhum,nenhum,1,Bom
621,regular,21,conta crítica/outros créditos existentes (não neste banco),3652,2,nenhum,nenhum,2,Bom
622, inexistente,18,conta crítica/outros créditos existentes (não neste banco),1530,3,nenhum,banco,2,Ruim
623, inexistente,48,créditos existentes pagos devidamente até agora,3914,4,nenhum,banco,1,Ruim
624,negativo,12,créditos existentes pagos devidamente até agora,1858,4,nenhum,nenhum,1,Bom
625,negativo,18,créditos existentes pagos devidamente até agora,2600,4,nenhum,nenhum,2,Ruim
626, inexistente,15,créditos existentes pagos devidamente até agora,1979,4,nenhum,nenhum,1,Bom
627,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,6,créditos existentes pagos devidamente até agora,2116,2,nenhum,nenhum,1,Bom
628,regular,9,todos os créditos deste banco foram devidamente pagos,1437,2,nenhum,nenhum,1,Ruim
629, inexistente,42,conta crítica/outros créditos existentes (não neste banco),4042,4,nenhum,nenhum,2,Bom
630, inexistente,9,créditos existentes pagos devidamente até agora,3832,1,nenhum,nenhum,1,Bom
631,negativo,24,créditos existentes pagos devidamente até agora,3660,2,nenhum,nenhum,1,Bom
632,negativo,18,todos os créditos deste banco foram devidamente pagos,1553,4,nenhum,banco,1,Ruim
633,regular,15,créditos existentes pagos devidamente até agora,1444,4,nenhum,nenhum,1,Bom
634, inexistente,9,créditos existentes pagos devidamente até agora,1980,2,co-requerente,nenhum,2,Ruim
635,regular,24,créditos existentes pagos devidamente até agora,1355,3,nenhum,nenhum,1,Ruim
636, inexistente,12,créditos existentes pagos devidamente até agora,1393,4,nenhum,banco,3,Bom
637, inexistente,24,créditos existentes pagos devidamente até agora,1376,4,nenhum,nenhum,1,Bom
638, inexistente,60,atraso no pagamento no passado,15653,2,nenhum,nenhum,2,Bom
639, inexistente,12,créditos existentes pagos devidamente até agora,1493,4,nenhum,nenhum,1,Bom
640,negativo,42,atraso no pagamento no passado,4370,3,nenhum,banco,2,Ruim
641,negativo,18,créditos existentes pagos devidamente até agora,750,4,nenhum,nenhum,1,Ruim
642,regular,15,créditos existentes pagos devidamente até agora,1308,4,nenhum,nenhum,2,Bom
643, inexistente,15,créditos existentes pagos devidamente até agora,4623,3,nenhum,nenhum,1,Ruim
644, inexistente,24,conta crítica/outros créditos existentes (não neste banco),1851,4,fiador,nenhum,2,Bom
645,negativo,18,conta crítica/outros créditos existentes (não neste banco),1880,4,nenhum,nenhum,2,Bom
646, inexistente,36,atraso no pagamento no passado,7980,4,nenhum,nenhum,2,Ruim
647,negativo,30,nenhum crédito obtido/todos os créditos pagos devidamente,4583,2,fiador,nenhum,2,Bom
648, inexistente,12,créditos existentes pagos devidamente até agora,1386,2,nenhum,nenhum,1,Ruim
649,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,24,créditos existentes pagos devidamente até agora,947,4,nenhum,banco,1,Ruim
650,negativo,12,créditos existentes pagos devidamente até agora,684,4,nenhum,nenhum,1,Ruim
651,negativo,48,créditos existentes pagos devidamente até agora,7476,4,nenhum,nenhum,1,Bom
652,regular,12,créditos existentes pagos devidamente até agora,1922,4,nenhum,nenhum,1,Ruim
653,negativo,24,créditos existentes pagos devidamente até agora,2303,4,co-requerente,nenhum,1,Ruim
654,regular,36,atraso no pagamento no passado,8086,2,nenhum,nenhum,4,Ruim
655, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2346,4,nenhum,nenhum,2,Bom
656,negativo,14,créditos existentes pagos devidamente até agora,3973,1,nenhum,nenhum,1,Bom
657,regular,12,créditos existentes pagos devidamente até agora,888,4,nenhum,banco,1,Ruim
658, inexistente,48,créditos existentes pagos devidamente até agora,10222,4,nenhum,lojas,1,Bom
659,regular,30,nenhum crédito obtido/todos os créditos pagos devidamente,4221,2,nenhum,nenhum,2,Bom
660,regular,18,conta crítica/outros créditos existentes (não neste banco),6361,2,nenhum,nenhum,1,Bom
661,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,créditos existentes pagos devidamente até agora,1297,3,nenhum,nenhum,1,Bom
662,negativo,12,créditos existentes pagos devidamente até agora,900,4,nenhum,nenhum,1,Ruim
663, inexistente,21,créditos existentes pagos devidamente até agora,2241,4,nenhum,nenhum,2,Bom
664,regular,6,atraso no pagamento no passado,1050,4,nenhum,lojas,2,Bom
665,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,6,conta crítica/outros créditos existentes (não neste banco),1047,2,nenhum,nenhum,1,Bom
666, inexistente,24,conta crítica/outros créditos existentes (não neste banco),6314,4,co-requerente,banco,2,Bom
667,regular,30,todos os créditos deste banco foram devidamente pagos,3496,4,nenhum,lojas,1,Bom
668, inexistente,48,todos os créditos deste banco foram devidamente pagos,3609,1,nenhum,lojas,1,Bom
669,negativo,12,conta crítica/outros créditos existentes (não neste banco),4843,3,co-requerente,nenhum,2,Ruim
670,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,30,conta crítica/outros créditos existentes (não neste banco),3017,4,nenhum,nenhum,1,Bom
671, inexistente,24,conta crítica/outros créditos existentes (não neste banco),4139,3,nenhum,nenhum,2,Bom
672, inexistente,36,créditos existentes pagos devidamente até agora,5742,2,nenhum,nenhum,2,Bom
673, inexistente,60,créditos existentes pagos devidamente até agora,10366,2,nenhum,nenhum,1,Bom
674, inexistente,6,conta crítica/outros créditos existentes (não neste banco),2080,1,nenhum,nenhum,1,Bom
675, inexistente,21,atraso no pagamento no passado,2580,4,nenhum,banco,1,Ruim
676, inexistente,30,conta crítica/outros créditos existentes (não neste banco),4530,4,nenhum,nenhum,1,Bom
677, inexistente,24,conta crítica/outros créditos existentes (não neste banco),5150,4,nenhum,nenhum,1,Bom
678,regular,72,créditos existentes pagos devidamente até agora,5595,2,nenhum,nenhum,1,Ruim
679,negativo,24,créditos existentes pagos devidamente até agora,2384,4,nenhum,banco,1,Bom
680, inexistente,18,créditos existentes pagos devidamente até agora,1453,3,nenhum,nenhum,1,Bom
681, inexistente,6,créditos existentes pagos devidamente até agora,1538,1,nenhum,nenhum,1,Bom
682, inexistente,12,créditos existentes pagos devidamente até agora,2279,4,nenhum,nenhum,1,Bom
683, inexistente,15,atraso no pagamento no passado,1478,4,nenhum,banco,2,Bom
684, inexistente,24,conta crítica/outros créditos existentes (não neste banco),5103,3,nenhum,nenhum,3,Bom
685,regular,36,atraso no pagamento no passado,9857,1,nenhum,nenhum,2,Bom
686, inexistente,60,créditos existentes pagos devidamente até agora,6527,4,nenhum,nenhum,1,Bom
687,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,10,conta crítica/outros créditos existentes (não neste banco),1347,4,nenhum,nenhum,2,Bom
688,regular,36,atraso no pagamento no passado,2862,4,nenhum,nenhum,1,Bom
689, inexistente,9,créditos existentes pagos devidamente até agora,2753,3,co-requerente,nenhum,1,Bom
690,negativo,12,créditos existentes pagos devidamente até agora,3651,1,nenhum,nenhum,1,Bom
691,negativo,15,conta crítica/outros créditos existentes (não neste banco),975,2,nenhum,nenhum,2,Bom
692,regular,15,créditos existentes pagos devidamente até agora,2631,3,nenhum,nenhum,1,Bom
693,regular,24,créditos existentes pagos devidamente até agora,2896,2,nenhum,nenhum,1,Bom
694,negativo,6,conta crítica/outros créditos existentes (não neste banco),4716,1,nenhum,nenhum,2,Bom
695, inexistente,24,créditos existentes pagos devidamente até agora,2284,4,nenhum,nenhum,1,Bom
696, inexistente,6,créditos existentes pagos devidamente até agora,1236,2,nenhum,nenhum,1,Bom
697,regular,12,créditos existentes pagos devidamente até agora,1103,4,fiador,nenhum,2,Bom
698, inexistente,12,conta crítica/outros créditos existentes (não neste banco),926,1,nenhum,nenhum,1,Bom
699, inexistente,18,conta crítica/outros créditos existentes (não neste banco),1800,4,nenhum,nenhum,2,Bom
700,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,15,créditos existentes pagos devidamente até agora,1905,4,nenhum,nenhum,1,Bom
701, inexistente,12,créditos existentes pagos devidamente até agora,1123,4,nenhum,nenhum,1,Ruim
702,negativo,48,conta crítica/outros créditos existentes (não neste banco),6331,4,nenhum,nenhum,2,Ruim
703,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,24,créditos existentes pagos devidamente até agora,1377,4,nenhum,nenhum,1,Bom
704,regular,30,atraso no pagamento no passado,2503,4,nenhum,lojas,2,Bom
705,regular,27,créditos existentes pagos devidamente até agora,2528,4,nenhum,nenhum,1,Bom
706, inexistente,15,créditos existentes pagos devidamente até agora,5324,1,nenhum,nenhum,1,Bom
707,regular,48,créditos existentes pagos devidamente até agora,6560,3,nenhum,nenhum,1,Ruim
708,regular,12,nenhum crédito obtido/todos os créditos pagos devidamente,2969,4,nenhum,nenhum,2,Ruim
709,regular,9,créditos existentes pagos devidamente até agora,1206,4,nenhum,nenhum,1,Bom
710,regular,9,créditos existentes pagos devidamente até agora,2118,2,nenhum,nenhum,1,Bom
711, inexistente,18,conta crítica/outros créditos existentes (não neste banco),629,4,nenhum,banco,2,Bom
712,negativo,6,todos os créditos deste banco foram devidamente pagos,1198,4,nenhum,nenhum,1,Ruim
713, inexistente,21,créditos existentes pagos devidamente até agora,2476,4,nenhum,nenhum,1,Bom
714,negativo,9,conta crítica/outros créditos existentes (não neste banco),1138,4,nenhum,nenhum,2,Bom
715,regular,60,créditos existentes pagos devidamente até agora,14027,4,nenhum,nenhum,1,Ruim
716, inexistente,30,conta crítica/outros créditos existentes (não neste banco),7596,1,nenhum,nenhum,2,Bom
717, inexistente,30,conta crítica/outros créditos existentes (não neste banco),3077,3,nenhum,nenhum,2,Bom
718, inexistente,18,créditos existentes pagos devidamente até agora,1505,4,nenhum,nenhum,1,Bom
719,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,24,conta crítica/outros créditos existentes (não neste banco),3148,3,nenhum,nenhum,2,Bom
720,regular,20,nenhum crédito obtido/todos os créditos pagos devidamente,6148,3,nenhum,banco,2,Bom
721,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,9,nenhum crédito obtido/todos os créditos pagos devidamente,1337,4,nenhum,nenhum,2,Ruim
722,regular,6,todos os créditos deste banco foram devidamente pagos,433,4,nenhum,banco,1,Ruim
723,negativo,12,créditos existentes pagos devidamente até agora,1228,4,nenhum,nenhum,1,Ruim
724,regular,9,créditos existentes pagos devidamente até agora,790,4,nenhum,nenhum,1,Bom
725, inexistente,27,créditos existentes pagos devidamente até agora,2570,3,nenhum,nenhum,1,Ruim
726, inexistente,6,conta crítica/outros créditos existentes (não neste banco),250,2,nenhum,banco,2,Bom
727, inexistente,15,conta crítica/outros créditos existentes (não neste banco),1316,2,nenhum,nenhum,2,Bom
728,negativo,18,créditos existentes pagos devidamente até agora,1882,4,nenhum,banco,2,Ruim
729,regular,48,todos os créditos deste banco foram devidamente pagos,6416,4,nenhum,nenhum,1,Ruim
730,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,24,conta crítica/outros créditos existentes (não neste banco),1275,2,nenhum,nenhum,2,Bom
731,regular,24,atraso no pagamento no passado,6403,1,nenhum,nenhum,1,Bom
732,negativo,24,créditos existentes pagos devidamente até agora,1987,2,nenhum,nenhum,1,Ruim
733,regular,8,créditos existentes pagos devidamente até agora,760,4,fiador,nenhum,1,Bom
734, inexistente,24,créditos existentes pagos devidamente até agora,2603,2,nenhum,nenhum,1,Bom
735, inexistente,4,conta crítica/outros créditos existentes (não neste banco),3380,1,nenhum,nenhum,1,Bom
736,regular,36,todos os créditos deste banco foram devidamente pagos,3990,3,nenhum,banco,1,Bom
737,regular,24,créditos existentes pagos devidamente até agora,11560,1,nenhum,nenhum,2,Ruim
738,negativo,18,créditos existentes pagos devidamente até agora,4380,3,nenhum,nenhum,1,Bom
739, inexistente,6,conta crítica/outros créditos existentes (não neste banco),6761,1,nenhum,nenhum,2,Bom
740,regular,30,nenhum crédito obtido/todos os créditos pagos devidamente,4280,4,nenhum,nenhum,2,Ruim
741,negativo,24,todos os créditos deste banco foram devidamente pagos,2325,2,nenhum,banco,1,Bom
742,regular,10,todos os créditos deste banco foram devidamente pagos,1048,4,nenhum,lojas,1,Bom
743, inexistente,21,créditos existentes pagos devidamente até agora,3160,4,nenhum,nenhum,1,Bom
744,negativo,24,todos os créditos deste banco foram devidamente pagos,2483,4,nenhum,lojas,1,Bom
745,negativo,39,conta crítica/outros créditos existentes (não neste banco),14179,4,nenhum,nenhum,2,Bom
746,negativo,13,conta crítica/outros créditos existentes (não neste banco),1797,3,nenhum,banco,2,Bom
747,negativo,15,créditos existentes pagos devidamente até agora,2511,1,nenhum,nenhum,1,Bom
748,negativo,12,créditos existentes pagos devidamente até agora,1274,3,nenhum,nenhum,1,Ruim
749, inexistente,21,créditos existentes pagos devidamente até agora,5248,1,nenhum,nenhum,1,Bom
750, inexistente,15,créditos existentes pagos devidamente até agora,3029,2,nenhum,nenhum,1,Bom
751,negativo,6,créditos existentes pagos devidamente até agora,428,2,nenhum,banco,1,Bom
752,negativo,18,créditos existentes pagos devidamente até agora,976,1,nenhum,nenhum,1,Ruim
753,regular,12,créditos existentes pagos devidamente até agora,841,2,nenhum,nenhum,1,Bom
754, inexistente,30,conta crítica/outros créditos existentes (não neste banco),5771,4,nenhum,nenhum,2,Bom
755, inexistente,12,atraso no pagamento no passado,1555,4,nenhum,nenhum,2,Ruim
756,negativo,24,créditos existentes pagos devidamente até agora,1285,4,nenhum,nenhum,1,Ruim
757,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,6,conta crítica/outros créditos existentes (não neste banco),1299,1,nenhum,nenhum,3,Bom
758,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,15,conta crítica/outros créditos existentes (não neste banco),1271,3,nenhum,nenhum,2,Ruim
759, inexistente,24,créditos existentes pagos devidamente até agora,1393,2,fiador,nenhum,1,Bom
760,negativo,12,conta crítica/outros créditos existentes (não neste banco),691,4,nenhum,nenhum,2,Ruim
761, inexistente,15,conta crítica/outros créditos existentes (não neste banco),5045,1,nenhum,nenhum,1,Bom
762,negativo,18,conta crítica/outros créditos existentes (não neste banco),2124,4,nenhum,nenhum,2,Ruim
763,negativo,12,créditos existentes pagos devidamente até agora,2214,4,nenhum,nenhum,1,Bom
764, inexistente,21,conta crítica/outros créditos existentes (não neste banco),12680,4,nenhum,nenhum,1,Ruim
765, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2463,4,nenhum,nenhum,2,Bom
766,regular,12,créditos existentes pagos devidamente até agora,1155,3,fiador,banco,2,Bom
767,negativo,30,créditos existentes pagos devidamente até agora,3108,2,nenhum,nenhum,1,Ruim
768, inexistente,10,créditos existentes pagos devidamente até agora,2901,1,nenhum,nenhum,1,Bom
769,regular,12,conta crítica/outros créditos existentes (não neste banco),3617,1,nenhum,nenhum,3,Bom
770, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1655,2,nenhum,nenhum,2,Bom
771,negativo,24,créditos existentes pagos devidamente até agora,2812,2,nenhum,nenhum,1,Bom
772,negativo,36,conta crítica/outros créditos existentes (não neste banco),8065,3,nenhum,nenhum,2,Ruim
773, inexistente,21,conta crítica/outros créditos existentes (não neste banco),3275,1,nenhum,nenhum,1,Bom
774, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2223,4,nenhum,banco,2,Bom
775,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,conta crítica/outros créditos existentes (não neste banco),1480,2,nenhum,banco,3,Bom
776,negativo,24,créditos existentes pagos devidamente até agora,1371,4,nenhum,nenhum,1,Ruim
777, inexistente,36,conta crítica/outros créditos existentes (não neste banco),3535,4,nenhum,nenhum,2,Bom
778,negativo,18,créditos existentes pagos devidamente até agora,3509,4,fiador,nenhum,1,Bom
779, inexistente,36,conta crítica/outros créditos existentes (não neste banco),5711,4,nenhum,nenhum,2,Bom
780,regular,18,créditos existentes pagos devidamente até agora,3872,2,nenhum,nenhum,1,Bom
781,regular,39,conta crítica/outros créditos existentes (não neste banco),4933,2,fiador,nenhum,2,Ruim
782, inexistente,24,conta crítica/outros créditos existentes (não neste banco),1940,4,nenhum,nenhum,1,Bom
783,regular,12,nenhum crédito obtido/todos os créditos pagos devidamente,1410,2,nenhum,nenhum,1,Bom
784,regular,12,créditos existentes pagos devidamente até agora,836,4,nenhum,banco,1,Ruim
785,regular,20,créditos existentes pagos devidamente até agora,6468,1,nenhum,nenhum,1,Bom
786,regular,18,créditos existentes pagos devidamente até agora,1941,4,nenhum,nenhum,1,Bom
787, inexistente,22,créditos existentes pagos devidamente até agora,2675,3,nenhum,nenhum,1,Bom
788, inexistente,48,conta crítica/outros créditos existentes (não neste banco),2751,4,nenhum,nenhum,2,Bom
789,regular,48,atraso no pagamento no passado,6224,4,nenhum,nenhum,1,Ruim
790,negativo,40,conta crítica/outros créditos existentes (não neste banco),5998,4,nenhum,banco,1,Ruim
791,regular,21,créditos existentes pagos devidamente até agora,1188,2,nenhum,nenhum,1,Ruim
792, inexistente,24,créditos existentes pagos devidamente até agora,6313,3,nenhum,nenhum,1,Bom
793, inexistente,6,conta crítica/outros créditos existentes (não neste banco),1221,1,nenhum,nenhum,2,Bom
794,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,24,créditos existentes pagos devidamente até agora,2892,3,nenhum,nenhum,1,Bom
795, inexistente,24,créditos existentes pagos devidamente até agora,3062,4,nenhum,nenhum,1,Bom
796, inexistente,9,créditos existentes pagos devidamente até agora,2301,2,nenhum,nenhum,1,Bom
797,negativo,18,créditos existentes pagos devidamente até agora,7511,1,nenhum,nenhum,1,Ruim
798, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1258,2,nenhum,nenhum,2,Bom
799, inexistente,24,atraso no pagamento no passado,717,4,nenhum,nenhum,2,Bom
800,regular,9,créditos existentes pagos devidamente até agora,1549,4,nenhum,nenhum,1,Bom
801, inexistente,24,conta crítica/outros créditos existentes (não neste banco),1597,4,nenhum,nenhum,2,Bom
802,regular,18,conta crítica/outros créditos existentes (não neste banco),1795,3,fiador,banco,2,Bom
803,negativo,20,conta crítica/outros créditos existentes (não neste banco),4272,1,nenhum,nenhum,2,Bom
804, inexistente,12,conta crítica/outros créditos existentes (não neste banco),976,4,nenhum,nenhum,2,Bom
805,regular,12,créditos existentes pagos devidamente até agora,7472,1,nenhum,nenhum,1,Bom
806,negativo,36,créditos existentes pagos devidamente até agora,9271,2,nenhum,nenhum,1,Ruim
807,regular,6,créditos existentes pagos devidamente até agora,590,3,nenhum,nenhum,1,Bom
808, inexistente,12,conta crítica/outros créditos existentes (não neste banco),930,4,nenhum,nenhum,4,Bom
809,regular,42,todos os créditos deste banco foram devidamente pagos,9283,1,nenhum,banco,1,Bom
810,regular,15,nenhum crédito obtido/todos os créditos pagos devidamente,1778,2,nenhum,nenhum,2,Ruim
811,regular,8,créditos existentes pagos devidamente até agora,907,3,nenhum,nenhum,1,Bom
812,regular,6,créditos existentes pagos devidamente até agora,484,3,fiador,banco,1,Bom
813,negativo,36,conta crítica/outros créditos existentes (não neste banco),9629,4,nenhum,nenhum,2,Ruim
814,negativo,48,créditos existentes pagos devidamente até agora,3051,3,nenhum,nenhum,1,Ruim
815,negativo,48,créditos existentes pagos devidamente até agora,3931,4,nenhum,nenhum,1,Ruim
816,regular,36,atraso no pagamento no passado,7432,2,nenhum,nenhum,1,Bom
817, inexistente,6,créditos existentes pagos devidamente até agora,1338,1,nenhum,nenhum,1,Bom
818, inexistente,6,conta crítica/outros créditos existentes (não neste banco),1554,1,nenhum,nenhum,2,Bom
819,negativo,36,créditos existentes pagos devidamente até agora,15857,2,co-requerente,nenhum,1,Bom
820,negativo,18,créditos existentes pagos devidamente até agora,1345,4,nenhum,banco,1,Ruim
821, inexistente,12,créditos existentes pagos devidamente até agora,1101,3,nenhum,nenhum,2,Bom
822,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,créditos existentes pagos devidamente até agora,3016,3,nenhum,nenhum,1,Bom
823,negativo,36,créditos existentes pagos devidamente até agora,2712,2,nenhum,banco,1,Ruim
824,negativo,8,conta crítica/outros créditos existentes (não neste banco),731,4,nenhum,nenhum,2,Bom
825, inexistente,18,conta crítica/outros créditos existentes (não neste banco),3780,3,nenhum,nenhum,2,Bom
826,negativo,21,conta crítica/outros créditos existentes (não neste banco),1602,4,nenhum,nenhum,2,Bom
827,negativo,18,conta crítica/outros créditos existentes (não neste banco),3966,1,nenhum,banco,3,Ruim
828, inexistente,18,nenhum crédito obtido/todos os créditos pagos devidamente,4165,2,nenhum,lojas,2,Ruim
829,negativo,36,créditos existentes pagos devidamente até agora,8335,3,nenhum,nenhum,1,Ruim
830,regular,48,atraso no pagamento no passado,6681,4,nenhum,nenhum,1,Bom
831, inexistente,24,atraso no pagamento no passado,2375,4,nenhum,nenhum,2,Bom
832,negativo,18,créditos existentes pagos devidamente até agora,1216,4,nenhum,nenhum,1,Ruim
833,negativo,45,nenhum crédito obtido/todos os créditos pagos devidamente,11816,2,nenhum,nenhum,2,Ruim
834,regular,24,créditos existentes pagos devidamente até agora,5084,2,nenhum,nenhum,1,Bom
835,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,15,créditos existentes pagos devidamente até agora,2327,2,nenhum,nenhum,1,Ruim
836,negativo,12,nenhum crédito obtido/todos os créditos pagos devidamente,1082,4,nenhum,banco,2,Ruim
837, inexistente,12,créditos existentes pagos devidamente até agora,886,4,nenhum,nenhum,1,Bom
838, inexistente,4,créditos existentes pagos devidamente até agora,601,1,nenhum,nenhum,1,Bom
839,negativo,24,conta crítica/outros créditos existentes (não neste banco),2957,4,nenhum,nenhum,2,Bom
840, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2611,4,co-requerente,nenhum,2,Bom
841,negativo,36,créditos existentes pagos devidamente até agora,5179,4,nenhum,nenhum,1,Ruim
842, inexistente,21,atraso no pagamento no passado,2993,3,nenhum,lojas,2,Bom
843, inexistente,18,créditos existentes pagos devidamente até agora,1943,4,nenhum,nenhum,1,Ruim
844, inexistente,24,todos os créditos deste banco foram devidamente pagos,1559,4,nenhum,banco,1,Bom
845, inexistente,18,créditos existentes pagos devidamente até agora,3422,4,nenhum,banco,3,Bom
846,regular,21,créditos existentes pagos devidamente até agora,3976,2,nenhum,nenhum,1,Bom
