ID,habitacao,tempo_res_atual,patrimonio,telefone,proposito,reserva,n_corresponsaveis,classe
536,alugada,1,"carro ou outro, não em conta poupança/títulos",Nenhum,educação,< 100,1,Ruim
537,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Bom
538,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
539,de graça,4,desconhecido/sem propriedade,Nenhum,carro (novo),< 100,1,Ruim
540,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
541,alugada,1,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
542,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
543,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,desconhecido/semcontapoupança,1,Ruim
544,própria,1,imobiliária,Nenhum,móveis/equipamentos,< 100,2,Ruim
545,própria,4,imobiliária,Nenhum,carro (novo),< 100,1,Bom
546,de graça,2,imobiliária,Nenhum,carro (novo),< 100,2,Ruim
547,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
548,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,2,Bom
549,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
550,de graça,1,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
551,própria,4,imobiliária,Nenhum,reparos,desconhecido/semcontapoupança,1,Bom
552,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,500 - 1000,2,Bom
553,própria,1,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
554,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),100 - 500,1,Bom
555,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",educação,< 100,1,Bom
556,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Ruim
557,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),100 - 500,1,Ruim
558,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Ruim
559,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
560,própria,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Ruim
561,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,2,Bom
562,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Ruim
563,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Bom
564,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Ruim
565,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",negócios,desconhecido/semcontapoupança,1,Bom
566,alugada,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,100 - 500,1,Bom
567,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
568,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,> 1000,1,Bom
569,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,2,Bom
570,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
571,alugada,4,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
572,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
573,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
574,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,< 100,1,Bom
575,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
576,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
577,própria,1,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
578,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",educação,desconhecido/semcontapoupança,1,Bom
579,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
580,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,reciclagem,< 100,1,Bom
581,própria,3,imobiliária,Nenhum,carro (novo),< 100,1,Ruim
582,própria,3,imobiliária,Nenhum,carro (novo),< 100,2,Bom
583,alugada,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
584,alugada,1,desconhecido/sem propriedade,Nenhum,reparos,< 100,1,Ruim
585,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Bom
586,alugada,4,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Ruim
587,alugada,2,imobiliária,Nenhum,carro (novo),< 100,2,Bom
588,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
589,própria,3,imobiliária,"Sim, registrado em nome do cliente",eletrodomésticos,< 100,1,Ruim
590,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Ruim
591,própria,3,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
592,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Bom
593,própria,4,imobiliária,Nenhum,negócios,> 1000,1,Bom
594,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
595,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado)0,desconhecido/semcontapoupança,1,Ruim
596,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),100 - 500,1,Ruim
597,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
598,própria,4,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
599,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Ruim
600,de graça,2,desconhecido/sem propriedade,Nenhum,negócios,< 100,1,Bom
601,própria,1,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
602,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Ruim
603,de graça,4,desconhecido/sem propriedade,Nenhum,educação,< 100,1,Ruim
604,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
605,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
606,própria,4,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,500 - 1000,1,Bom
607,própria,2,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Bom
608,de graça,4,desconhecido/sem propriedade,Nenhum,rádio/televisão,100 - 500,1,Ruim
609,própria,1,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
610,de graça,4,desconhecido/sem propriedade,Nenhum,carro (usado),desconhecido/semcontapoupança,2,Bom
611,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,eletrodomésticos,100 - 500,1,Ruim
612,de graça,4,desconhecido/sem propriedade,Nenhum,carro (novo),100 - 500,2,Ruim
613,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,> 1000,1,Bom
614,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),< 100,1,Bom
615,própria,1,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Ruim
616,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,desconhecido/semcontapoupança,1,Bom
617,de graça,2,desconhecido/sem propriedade,Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
618,alugada,3,imobiliária,Nenhum,carro (novo),< 100,2,Bom
619,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,100 - 500,1,Ruim
620,própria,2,imobiliária,Nenhum,carro (novo),< 100,1,Bom
621,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,< 100,1,Bom
622,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Ruim
623,própria,2,imobiliária,Nenhum,negócios,desconhecido/semcontapoupança,1,Ruim
624,alugada,1,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
625,de graça,4,desconhecido/sem propriedade,Nenhum,rádio/televisão,< 100,1,Ruim
626,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
627,própria,2,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
628,própria,3,desconhecido/sem propriedade,Nenhum,carro (novo),100 - 500,1,Ruim
629,própria,4,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,500 - 1000,1,Bom
630,própria,4,imobiliária,Nenhum,educação,desconhecido/semcontapoupança,1,Bom
631,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
632,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
633,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
634,alugada,2,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
635,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
636,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",educação,< 100,2,Bom
637,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,500 - 1000,1,Bom
638,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
639,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,2,Bom
640,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,< 100,2,Ruim
641,própria,1,imobiliária,Nenhum,educação,< 100,1,Ruim
642,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,reparos,< 100,1,Bom
643,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",educação,100 - 500,1,Ruim
644,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
645,própria,1,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
646,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,desconhecido/semcontapoupança,1,Ruim
647,própria,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
648,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),500 - 1000,1,Ruim
649,de graça,3,desconhecido/sem propriedade,Nenhum,carro (novo),< 100,2,Ruim
650,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,educação,< 100,2,Ruim
651,de graça,1,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,< 100,1,Bom
652,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Ruim
653,própria,1,imobiliária,Nenhum,carro (novo),< 100,1,Ruim
654,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),100 - 500,1,Ruim
655,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
656,de graça,4,desconhecido/sem propriedade,Nenhum,carro (novo),< 100,1,Bom
657,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,2,Ruim
658,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
659,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,< 100,1,Bom
660,própria,1,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
661,alugada,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
662,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),desconhecido/semcontapoupança,1,Ruim
663,própria,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
664,própria,1,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
665,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,educação,< 100,1,Bom
666,própria,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado)0,< 100,1,Bom
667,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,> 1000,2,Bom
668,própria,1,imobiliária,Nenhum,negócios,< 100,1,Bom
669,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
670,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Bom
671,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",negócios,100 - 500,1,Bom
672,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,100 - 500,1,Bom
673,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
674,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),500 - 1000,1,Bom
675,própria,2,imobiliária,Nenhum,negócios,500 - 1000,2,Ruim
676,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
677,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
678,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,100 - 500,1,Ruim
679,alugada,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
680,própria,1,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
681,própria,2,desconhecido/sem propriedade,Nenhum,educação,< 100,1,Bom
682,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
683,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
684,de graça,3,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
685,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",negócios,100 - 500,2,Bom
686,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,2,Bom
687,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
688,de graça,3,desconhecido/sem propriedade,Nenhum,carro (novo),100 - 500,1,Bom
689,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,100 - 500,1,Bom
690,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),> 1000,2,Bom
691,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
692,própria,2,imobiliária,Nenhum,reparos,100 - 500,1,Bom
693,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,100 - 500,1,Bom
694,própria,3,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,2,Bom
695,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
696,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (usado),500 - 1000,1,Bom
697,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
698,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Bom
699,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
700,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",educação,< 100,1,Bom
701,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,500 - 1000,1,Ruim
702,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Ruim
703,de graça,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,100 - 500,1,Bom
704,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,100 - 500,1,Bom
705,própria,1,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",negócios,< 100,2,Bom
706,de graça,4,desconhecido/sem propriedade,Nenhum,carro (novo),500 - 1000,1,Bom
707,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),100 - 500,1,Ruim
708,alugada,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Ruim
709,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
710,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,2,Bom
711,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,500 - 1000,1,Bom
712,de graça,4,desconhecido/sem propriedade,Nenhum,educação,< 100,1,Ruim
713,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
714,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
715,própria,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
716,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),desconhecido/semcontapoupança,1,Bom
717,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,2,Bom
718,de graça,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
719,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
720,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),100 - 500,1,Bom
721,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
722,alugada,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,educação,> 1000,2,Ruim
723,própria,2,imobiliária,Nenhum,carro (novo),< 100,1,Ruim
724,própria,3,imobiliária,Nenhum,rádio/televisão,500 - 1000,1,Bom
725,alugada,3,imobiliária,Nenhum,carro (novo),< 100,1,Ruim
726,própria,2,imobiliária,Nenhum,carro (novo),> 1000,1,Bom
727,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,500 - 1000,1,Bom
728,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Ruim
729,alugada,3,desconhecido/sem propriedade,Nenhum,negócios,< 100,1,Ruim
730,própria,4,imobiliária,"Sim, registrado em nome do cliente",negócios,> 1000,1,Bom
731,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
732,alugada,4,imobiliária,Nenhum,rádio/televisão,< 100,2,Ruim
733,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
734,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),> 1000,1,Bom
735,própria,1,imobiliária,Nenhum,carro (novo),< 100,2,Bom
736,própria,2,desconhecido/sem propriedade,Nenhum,eletrodomésticos,desconhecido/semcontapoupança,1,Bom
737,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),< 100,1,Ruim
738,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),100 - 500,2,Bom
739,própria,3,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,2,Bom
740,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,100 - 500,1,Ruim
741,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),100 - 500,1,Bom
742,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
743,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
744,própria,4,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,500 - 1000,1,Bom
745,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
746,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,< 100,1,Bom
747,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Bom
748,própria,1,imobiliária,Nenhum,carro (novo),< 100,1,Ruim
749,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),desconhecido/semcontapoupança,1,Bom
750,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),< 100,1,Bom
751,própria,1,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
752,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
753,alugada,4,imobiliária,Nenhum,negócios,100 - 500,1,Bom
754,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
755,de graça,4,desconhecido/sem propriedade,Nenhum,reparos,> 1000,2,Ruim
756,alugada,4,desconhecido/sem propriedade,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Ruim
757,própria,1,imobiliária,Nenhum,carro (novo),< 100,2,Bom
758,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Ruim
759,própria,2,imobiliária,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
760,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Ruim
761,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Bom
762,alugada,4,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Ruim
763,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Bom
764,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Ruim
765,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),100 - 500,1,Bom
766,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
767,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Ruim
768,alugada,4,imobiliária,Nenhum,carro (usado),desconhecido/semcontapoupança,1,Bom
769,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
770,própria,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
771,alugada,4,imobiliária,Nenhum,carro (usado),desconhecido/semcontapoupança,1,Bom
772,própria,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,< 100,1,Ruim
773,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
774,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,100 - 500,1,Bom
775,de graça,4,desconhecido/sem propriedade,Nenhum,carro (novo),500 - 1000,1,Bom
776,alugada,4,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Ruim
777,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
778,própria,1,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
779,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),> 1000,1,Bom
780,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",reparos,< 100,1,Bom
781,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
782,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (novo),> 1000,1,Bom
783,própria,2,imobiliária,"Sim, registrado em nome do cliente",reciclagem,< 100,1,Bom
784,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),100 - 500,1,Ruim
785,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
786,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",negócios,> 1000,1,Bom
787,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,500 - 1000,1,Bom
788,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,2,Bom
789,de graça,4,desconhecido/sem propriedade,Nenhum,educação,< 100,1,Ruim
790,própria,3,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,< 100,1,Ruim
791,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,< 100,2,Ruim
792,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,2,Bom
793,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
794,de graça,4,desconhecido/sem propriedade,Nenhum,móveis/equipamentos,< 100,1,Bom
795,alugada,3,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",móveis/equipamentos,500 - 1000,1,Bom
796,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,100 - 500,1,Bom
797,de graça,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,2,Ruim
798,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
799,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Bom
800,própria,2,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
801,de graça,4,desconhecido/sem propriedade,Nenhum,educação,< 100,2,Bom
802,alugada,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
803,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
